408.0;[['01000015e0f162cd', '2013-09-05 18:52:07+02', 'occupied']]
8.0;[['01000015e0f162cd', '2013-09-05 18:52:15+02', 'available']]
10.0;[['01000015e0f162cd', '2013-09-05 18:52:25+02', 'occupied']]
121.0;[['01000015e10132ca', '2013-09-05 18:54:26+02', 'available']]
101.0;[['01000015e10132ca', '2013-09-05 18:56:07+02', 'occupied']]
942.0;[['01000015e102f32c', '2013-09-05 19:11:49+02', 'available']]
20.0;[['01000015e102f32c', '2013-09-05 19:12:09+02', 'occupied']]
652.0;[['01000015e0ec5402', '2013-09-05 19:23:01+02', 'available']]
20.0;[['01000015e0ec5402', '2013-09-05 19:23:21+02', 'occupied']]
440.0;[['01000015e0eefbf9', '2013-09-05 19:30:41+02', 'available']]
31.0;[['01000015e0eefbf9', '2013-09-05 19:31:12+02', 'occupied']]
406.0;[['01000015e102f32c', '2013-09-05 19:37:58+02', 'available']]
225.0;[['01000015e0eb7bc1', '2013-09-05 19:41:43+02', 'available']]
129.0;[['01000015e102f32c', '2013-09-05 19:43:52+02', 'occupied']]
174.0;[['01000015e0eb7bc1', '2013-09-05 19:46:46+02', 'occupied']]
76.0;[['01000015e0f0fffb', '2013-09-05 19:48:02+02', 'available']]
20.0;[['01000015e0f0fffb', '2013-09-05 19:48:22+02', 'occupied']]
1773.0;[['01000015e0e6b04a', '2013-09-05 20:17:55+02', 'occupied']]
2558.0;[['01000015e0e91f5d', '2013-09-05 21:00:33+02', 'available']]
10.0;[['01000015e0e91f5d', '2013-09-05 21:00:43+02', 'occupied']]
1040.0;[['01000015e0eefbf9', '2013-09-05 21:18:03+02', 'available']]
355.0;[['01000015e0eefbf9', '2013-09-05 21:23:58+02', 'occupied']]
3615.0;[['01000015e0fcedef', '2013-09-05 22:24:13+02', 'available']]
1268.0;[['01000015e10132ca', '2013-09-05 22:45:21+02', 'available']]
796.0;[['01000015e10132ca', '2013-09-05 22:58:37+02', 'occupied']]
67.0;[['01000015e0fcedef', '2013-09-05 22:59:44+02', 'occupied']]
75.0;[['01000015e0e6b04a', '2013-09-05 23:00:59+02', 'available']]
2302.0;[['01000015e0eb7bc1', '2013-09-05 23:39:21+02', 'available']]
812.0;[['01000015e102f32c', '2013-09-05 23:52:53+02', 'available']]
1973.0;[['01000015e0ef0a71', '2013-09-06 00:25:46+02', 'available']]
122.0;[['01000015e0ef0a71', '2013-09-06 00:27:48+02', 'occupied']]
10.0;[['01000015e0ef0a71', '2013-09-06 00:27:58+02', 'available']]
10.0;[['01000015e0ef0a71', '2013-09-06 00:28:08+02', 'occupied']]
87.0;[['01000015e102f32c', '2013-09-06 00:29:35+02', 'occupied']]
10.0;[['01000015e102f32c', '2013-09-06 00:29:45+02', 'available']]
1046.0;[['01000015e0ef0a71', '2013-09-06 00:47:11+02', 'available']]
868.0;[['01000015e0ef0a71', '2013-09-06 01:01:39+02', 'occupied']]
962.0;[['01000015e0ef0a71', '2013-09-06 01:17:41+02', 'available']]
720.0;[['01000015e0ef0a71', '2013-09-06 01:29:41+02', 'occupied']]
15232.0;[['01000015e0e389e3', '2013-09-06 05:43:33+02', 'available']]
3679.0;[['01000015e102f32c', '2013-09-06 06:44:52+02', 'occupied']]
3401.0;[['01000015e0e389e3', '2013-09-06 07:41:33+02', 'occupied']]
1824.0;[['01000015e0ef0a71', '2013-09-06 08:11:57+02', 'available']]
249.0;[['01000015e0e91f5d', '2013-09-06 08:16:06+02', 'available']]
40.0;[['01000015e0e91f5d', '2013-09-06 08:16:46+02', 'occupied']]
158.0;[['01000015e0eb7bc1', '2013-09-06 08:19:24+02', 'occupied']]
225.0;[['01000015e0f162cd', '2013-09-06 08:23:09+02', 'available']]
1819.0;[['01000015e0ef0a71', '2013-09-06 08:53:28+02', 'occupied']]
10.0;[['01000015e0ef0a71', '2013-09-06 08:53:38+02', 'available']]
10.0;[['01000015e0ef0a71', '2013-09-06 08:53:48+02', 'occupied']]
10.0;[['01000015e0ef0a71', '2013-09-06 08:53:58+02', 'available']]
20.0;[['01000015e0ef0a71', '2013-09-06 08:54:18+02', 'occupied']]
532.0;[['01000015e0e91f5d', '2013-09-06 09:03:10+02', 'available']]
99.0;[['01000015e0fefd37', '2013-09-06 09:04:49+02', 'available']]
13.0;[['01000015e0e91f5d', '2013-09-06 09:05:02+02', 'occupied']]
179.0;[['01000015e0fefd37', '2013-09-06 09:08:01+02', 'occupied']]
11.0;[['01000015e0fefd37', '2013-09-06 09:08:12+02', 'available']]
860.0;[['01000015e0f162cd', '2013-09-06 09:22:32+02', 'occupied']]
111.0;[['01000015e0f162cd', '2013-09-06 09:24:23+02', 'available']]
171.0;[['01000015e0e6b04a', '2013-09-06 09:27:14+02', 'occupied']]
10.0;[['01000015e0e6b04a', '2013-09-06 09:27:24+02', 'available']]
1054.0;[['01000015e0df4493', '2013-09-06 09:44:58+02', 'available']]
290.0;[['01000015e0f162cd', '2013-09-06 09:49:48+02', 'occupied']]
83.0;[['01000015e0df4493', '2013-09-06 09:51:11+02', 'occupied']]
977.0;[['01000015e0f162cd', '2013-09-06 10:07:28+02', 'available']]
23.0;[['01000015e0f162cd', '2013-09-06 10:07:51+02', 'occupied']]
573.0;[['01000015e0fefd37', '2013-09-06 10:17:24+02', 'occupied']]
30.0;[['01000015e0fefd37', '2013-09-06 10:17:54+02', 'available']]
203.0;[['01000015e0f162cd', '2013-09-06 10:21:17+02', 'available']]
182.0;[['01000015e0f162cd', '2013-09-06 10:24:19+02', 'occupied']]
11.0;[['01000015e0f162cd', '2013-09-06 10:24:30+02', 'available']]
10.0;[['01000015e0f162cd', '2013-09-06 10:24:40+02', 'occupied']]
415.0;[['01000015e0fefd37', '2013-09-06 10:31:35+02', 'occupied']]
15.0;[['01000015e0e91f5d', '2013-09-06 10:31:50+02', 'available']]
71.0;[['01000015e0e91f5d', '2013-09-06 10:33:01+02', 'occupied']]
36.0;[['01000015e0fefd37', '2013-09-06 10:33:37+02', 'available']]
254.0;[['01000015e0fefd37', '2013-09-06 10:37:51+02', 'occupied']]
3006.0;[['01000015e0df4493', '2013-09-06 11:27:57+02', 'available']]
314.0;[['01000015e0df4493', '2013-09-06 11:33:11+02', 'occupied']]
47.0;[['01000015e0e6b04a', '2013-09-06 11:33:58+02', 'occupied']]
1822.0;[['01000015e0fefd37', '2013-09-06 12:04:20+02', 'available']]
315.0;[['01000015e0e91f5d', '2013-09-06 12:09:35+02', 'available']]
112.0;[['01000015e0e91f5d', '2013-09-06 12:11:27+02', 'occupied']]
2063.0;[['01000015e0eefbf9', '2013-09-06 12:45:50+02', 'available']]
132.0;[['01000015e0eefbf9', '2013-09-06 12:48:02+02', 'occupied']]
10.0;[['01000015e0eefbf9', '2013-09-06 12:48:12+02', 'available']]
40.0;[['01000015e0eefbf9', '2013-09-06 12:48:52+02', 'occupied']]
25.0;[['01000015e0df4493', '2013-09-06 12:49:17+02', 'available']]
31.0;[['01000015e0df4493', '2013-09-06 12:49:48+02', 'occupied']]
216.0;[['01000015e0ef0a71', '2013-09-06 12:53:24+02', 'available']]
243.0;[['01000015e0ef0a71', '2013-09-06 12:57:27+02', 'occupied']]
948.0;[['01000015e0fefd37', '2013-09-06 13:13:15+02', 'occupied']]
817.0;[['01000015e0fefd37', '2013-09-06 13:26:52+02', 'available']]
11.0;[['01000015e0fefd37', '2013-09-06 13:27:03+02', 'occupied']]
125.0;[['01000015e0eefbf9', '2013-09-06 13:29:08+02', 'available']]
324.0;[['01000015e0eefbf9', '2013-09-06 13:34:32+02', 'occupied']]
22.0;[['01000015e0df4493', '2013-09-06 13:34:54+02', 'available']]
10.0;[['01000015e0df4493', '2013-09-06 13:35:04+02', 'occupied']]
12.0;[['01000015e0ef0a71', '2013-09-06 13:35:16+02', 'available']]
164.0;[['01000015e0e337f7', '2013-09-06 13:38:00+02', 'available']]
21.0;[['01000015e0e337f7', '2013-09-06 13:38:21+02', 'occupied']]
328.0;[['01000015e0e91f5d', '2013-09-06 13:43:49+02', 'available']]
20.0;[['01000015e0e91f5d', '2013-09-06 13:44:09+02', 'occupied']]
3.0;[['01000015e0ef0a71', '2013-09-06 13:44:12+02', 'occupied']]
1326.0;[['01000015e0fefd37', '2013-09-06 14:06:18+02', 'available']]
263.0;[['01000015e0e337f7', '2013-09-06 14:10:41+02', 'available']]
101.0;[['01000015e0e337f7', '2013-09-06 14:12:22+02', 'occupied']]
20.0;[['01000015e0e337f7', '2013-09-06 14:12:42+02', 'available']]
10.0;[['01000015e0e337f7', '2013-09-06 14:12:52+02', 'occupied']]
930.0;[['01000015e0e91f5d', '2013-09-06 14:28:22+02', 'available']]
121.0;[['01000015e0e91f5d', '2013-09-06 14:30:23+02', 'occupied']]
1206.0;[['01000015e0ef0a71', '2013-09-06 14:50:29+02', 'available']]
172.0;[['01000015e0ef0a71', '2013-09-06 14:53:21+02', 'occupied']]
144.0;[['01000015e0fefd37', '2013-09-06 14:55:45+02', 'occupied']]
10.0;[['01000015e0fefd37', '2013-09-06 14:55:55+02', 'available']]
71.0;[['01000015e0fefd37', '2013-09-06 14:57:06+02', 'occupied']]
1071.0;[['01000015e0e91f5d', '2013-09-06 15:14:57+02', 'available']]
10.0;[['01000015e0e91f5d', '2013-09-06 15:15:07+02', 'occupied']]
157.0;[['01000015e0ec5402', '2013-09-06 15:17:44+02', 'available']]
1.0;[['01000015e0ec5402', '2013-09-06 15:17:45+02', 'available']]
20.0;[['01000015e0ec5402', '2013-09-06 15:18:05+02', 'occupied']]
20.0;[['01000015e0ec5402', '2013-09-06 15:18:25+02', 'occupied']]
863.0;[['01000015e0e91f5d', '2013-09-06 15:32:48+02', 'available']]
61.0;[['01000015e0e91f5d', '2013-09-06 15:33:49+02', 'occupied']]
46.0;[['01000015e0f0fffb', '2013-09-06 15:34:35+02', 'available']]
202.0;[['01000015e0f0fffb', '2013-09-06 15:37:57+02', 'occupied']]
1025.0;[['01000015e0fefd37', '2013-09-06 15:55:02+02', 'available']]
842.0;[['01000015e0e6b04a', '2013-09-06 16:09:04+02', 'available']]
192.0;[['01000015e0e6b04a', '2013-09-06 16:12:16+02', 'occupied']]
10.0;[['01000015e0e6b04a', '2013-09-06 16:12:26+02', 'available']]
398.0;[['01000015e0ec5402', '2013-09-06 16:19:04+02', 'available']]
20.0;[['01000015e0ec5402', '2013-09-06 16:19:24+02', 'occupied']]
291.0;[['01000015e0e6b04a', '2013-09-06 16:24:15+02', 'occupied']]
591.0;[['01000015e0fefd37', '2013-09-06 16:34:06+02', 'occupied']]
116.0;[['01000015e0e337f7', '2013-09-06 16:36:02+02', 'available']]
759.0;[['01000015e0e337f7', '2013-09-06 16:48:41+02', 'occupied']]
20.0;[['01000015e0e337f7', '2013-09-06 16:49:01+02', 'available']]
354.0;[['01000015e0e337f7', '2013-09-06 16:54:55+02', 'occupied']]
645.0;[['01000015e0fefd37', '2013-09-06 17:05:40+02', 'available']]
30.0;[['01000015e0fefd37', '2013-09-06 17:06:10+02', 'occupied']]
1318.0;[['01000015e0fcedef', '2013-09-06 17:28:08+02', 'available']]
32.0;[['01000015e0eefbf9', '2013-09-06 17:28:40+02', 'available']]
39.0;[['01000015e0fcedef', '2013-09-06 17:29:19+02', 'occupied']]
274.0;[['01000015e0eefbf9', '2013-09-06 17:33:53+02', 'occupied']]
598.0;[['01000015e0e389e3', '2013-09-06 17:43:51+02', 'available']]
132.0;[['01000015e0e389e3', '2013-09-06 17:46:03+02', 'occupied']]
703.0;[['01000015e0f0fffb', '2013-09-06 17:57:46+02', 'available']]
20.0;[['01000015e0f0fffb', '2013-09-06 17:58:06+02', 'occupied']]
10.0;[['01000015e0f0fffb', '2013-09-06 17:58:16+02', 'available']]
385.0;[['01000015e0f0fffb', '2013-09-06 18:04:41+02', 'occupied']]
690.0;[['01000015e0e6b04a', '2013-09-06 18:16:11+02', 'available']]
334.0;[['01000015e0e6b04a', '2013-09-06 18:21:45+02', 'occupied']]
217.0;[['01000015e0eefbf9', '2013-09-06 18:25:22+02', 'available']]
10.0;[['01000015e0eefbf9', '2013-09-06 18:25:32+02', 'occupied']]
2422.0;[['01000015e0f0fffb', '2013-09-06 19:05:54+02', 'available']]
31.0;[['01000015e0f0fffb', '2013-09-06 19:06:25+02', 'occupied']]
232.0;[['01000015e0e91f5d', '2013-09-06 19:10:17+02', 'available']]
475.0;[['01000015e0e91f5d', '2013-09-06 19:18:12+02', 'occupied']]
1291.0;[['01000015e0e6b04a', '2013-09-06 19:39:43+02', 'available']]
11.0;[['01000015e0e6b04a', '2013-09-06 19:39:54+02', 'occupied']]
1458.0;[['01000015e0fcedef', '2013-09-06 20:04:12+02', 'available']]
344.0;[['01000015e0fcedef', '2013-09-06 20:09:56+02', 'occupied']]
528.0;[['01000015e0e91f5d', '2013-09-06 20:18:44+02', 'available']]
223.0;[['01000015e0e91f5d', '2013-09-06 20:22:27+02', 'occupied']]
5106.0;[['01000015e0f2c55a', '2013-09-06 21:47:33+02', 'available']]
192.0;[['01000015e0eb7bc1', '2013-09-06 21:50:45+02', 'available']]
213.0;[['01000015e0f2c55a', '2013-09-06 21:54:18+02', 'occupied']]
